  Room #1: Pos(2,2) 4 cells (2x2)
  Room #2: Pos(9,9) 9 cells (3x3)
  Room #3: Pos(13,9) 9 cells (3x3)
  Room #4: Pos(17,9) 9 cells (3x3)
  Room #5: Pos(21,9) 9 cells (3x3)
  Room #6: Pos(26,10) 4 cells (2x2)
  Room #7: Pos(9,13) 9 cells (3x3)
  Room #8: Pos(13,13) 9 cells (3x3)
  Room #9: Pos(17,13) 9 cells (3x3)
  Room #10: Pos(21,13) 9 cells (3x3)
  Room #11: Pos(17,17) 9 cells (3x3)
  Room #12: Pos(21,17) 9 cells (3x3)
  Room #13: Pos(11,19) 9 cells (3x3)
  Room #14: Pos(17,21) 9 cells (3x3)
  Room #15: Pos(21,21) 9 cells (3x3)
  Room #16: Pos(11,23) 9 cells (3x3)
  Room #17: Pos(31,23) 9 cells (3x3)
  Room #18: Pos(25,25) 9 cells (3x3)
  Room #19: Pos(31,27) 9 cells (3x3)
  Room #20: Pos(11,31) 9 cells (3x3)
  Room #21: Pos(15,31) 9 cells (3x3)
  Room #22: Pos(19,31) 9 cells (3x3)
  Room #23: Pos(23,31) 9 cells (3x3)
  Room #24: Pos(27,31) 9 cells (3x3)
  Room #25: Pos(31,31) 9 cells (3x3)
